Founded Year,Company,Employees,Website,Industry,Keywords,SEO Description
1999,Tekna Hyperbaric Chamber,21,http://www.hyperbaric-chamber.com,medical devices,"medical devices, wound healing, diabetic foot, hyperbaric chamber, hyperbaricchamber, hyperbaric chambers, monoplace hyperbaric oxygen therapy chamber, multiplace hyperbaric oxygen therapy chamber, transportable hyperbaric oxygen therapy chamber, animal hyperbaric chamber, decompression chamber, recompression chamber, hyperbaric oxygen therapy, hyperbaric medicine, hyperbaric chambers for sale","Hyperbaric Chambers for Sale - Tekna is the Leading Manufacturer of Monoplace and Multiplace Hyperbaric Chambers for Hyperbaric Oxygen Therapy HBOT 
 CLASS
 A, B, C Systems 
 ASME / National Board
 Class A, B, C 
 PVHO-1
 Class A, B"
1999,Scientific International,28,http://www.scientificinternational.co.in,research,instruments required in all fields,"Scientific International India is an established company which deals with Scientific lab instruments, Test & Measurement Equipments, Lab Supplies including Glassware, Sensors required for IoT & Home Automation and also on Biometric Devices like Iris Scanner, Fingerprint Vein Scanners."
1999,DIT India,93,http://www.ditindia.com,information technology & services,"ui, ux design, front end development, responsive web design, cms such as wordpress, joomla, ecommerce platforms such as bigcommerce, magento, opencart, php, mysql, jquery, bootstrap, kendo ui, angularjs","Dit India is UI/UX design, development and eCommerce service. BigCommerce, Shopify, Wordpress, Joomla, Opencart, Responsive web design, mobile apps development company. Work with our best in class designers & developers"
1999,SEOValley,78,http://www.seovalley.com,information technology & services,"seo, sem, ppc, cro, orm, web developement, off page seo, link building, website designing, local seo, smo, analytics, tracking, seo consulting","Best SEO Company of India since 2000- No Setup fee, Month on month contract. SEO Plans starts at $200/ month. Contact us for free SEO Audit today!"
1999,Web.Com (India),21,http://www.webcomindia.biz,information technology & services,"website designing, web application development, mobile app development, custom software development, ecommerce website development, android app development, ios app development, enterprise software development, software development","Web .Com (India) Pvt Ltd is a premier software solutions, app development, web development, specializing in professional software development, website design, app development services. Our expert team delivers high-quality web solutions tailored to meet your business needs. Contact us for innovative website designs in Guwahati."
1999,Cobra Softwares,2,http://www.cobrasoft.org,information technology & services,"web application development, mobile application development, it outsourcing, open source techologies","Specializes In Creating Scalable & Secure Software For A Variety Of Industries. Free quote. Hire our talent & quickly scale your delivery. Your share ideas, we share expertise, Artificial Intelligence and robot programming"
1999,Roots Infocomm,4,http://www.rootsitservices.com,information technology & services,"cloud computing, business consultancy, web application development, software development, devops, website design, web promotions, data migration, digital marketing, software & it services",Roots Infocomm Private Limited has a track record of building 140+ software solutions for network marketing direct selling organisations. In past 22 years we have worked on all MLM business Plans.
1999,Delux International,7,http://www.deluxinternational.in,mechanical or industrial engineering,"safety shoes upper, safety shoes, leather, finished leather, leather footwear, footwear","For more than three decades, Delux International has been a pioneer in workplace Leather for safety."
1999,Universal Institute Of Design,3,http://www.uidsurat.com,government administration,"fashion designing, civil & architecture, interior designing, gem jewellery designing","Start your design career with the Best Designing Courses in Surat. Practical training in Interior, Fashion, and Jewellery design Course with placement support!"
1999,AGRS,6,http://www.agrsindia.com,civil engineering,"water supply, quality control, project facilitation, architecture & structural design, pmc, survey, highway engineering, bridge & tunnel engineering, railway, environment, gis",Asian Geotech Research Services
1999,Tossido,8,http://www.tossido.in,apparel & fashion,customisation,"Shop Tossido's latest collection of ties, scarves, stoles, cufflinks, pocket squares, cravats, lapel pin, tie bars, pocket watches & other accessories. â­ Free Shipping All over India â­ Fast Delivery â­ Cash on Delivery"
1999,Walletsplus,4,http://www.walletsplus.net,apparel & fashion,"sustainable leather goods, male leather goods, designer leather goods, wallets, duffel bags, rucksacks, handbags, womens leather goods, business bags, supplying top labels & brands","Since 1999 Walletsplus have been manufacturing and exporting Premium Quality Finished Leather products world-wide from our factories at Kolkata, India.."
1999,Lajjoo,4,http://www.lajjooc.com,apparel & fashion,"luxury, fashion, handcrafted, indian textiles, embroidery","Explore Lajjoo collection of women's designer clothing. Shop luxury kurtas, sarees, lehengas & more. Free Shipping (India)!"
1999,Radical Reflex,4,http://www.radicalreflex.com,information technology & services,"website designing, brochure designing, catalogue design, website development, company profile designing, logo designing, product packaging design","We develop high-value Branding, Packaging, and Website solutions that propel companies from startups to large-scale, profitable enterprises."
1999,AceGenesis,7,http://www.acegenesis.com,information technology & services,"web management, social media marketing, search engine optmization, web development, creative web design & development services, online marketing, ppc management, internet marketing","Amazing Internet Marketing Services in India using Viral Social Media Management, Top Rank SEO Services & Web Design Services"
1999,Youth First Community of Promise,3,http://www.youthfirst.net,civic & social organization,youth development & teen center,"Youth First equips middle and high school youth with the resources, skills, and support they need to transition successfully into the next step of their lives. Our programs and services provide a safe and nurturing environment for youth to learn, grow, and thrive."
1999,Global Webs Link,9,http://www.globalwebslink.com,information technology & services,"website development, domain registration, online reputation management, website designing, website redesigning, seo, ecommerce website designing, hosting services, responsive web design, cms website services, website application","At Global Webs Link, we are not just an IT company in Lucknow; we are known for Digital Marketing in Lucknow and Website Designing in Lucknow. We are passionate"
1999,Richworth Uniforms,10,http://www.richworth.in,apparel & fashion,"hospitality uniforms, uniforms, health care uniforms, customised uniforms, corporate uniforms, factory uniforms","Customizable uniforms for Corporate, Workwear, Healthcare, Hospitality professionals in Chennai, India. Explore our uniforms online."
1999,4devnet.com,6,http://www.4devnet.com,information technology & services,"odoo customization, erpnext customization, ecommerce web development, mobile applications, net, php, jquery, node, js, wakanda, crm, erp, software development, startup consultation, services, support, cloud, voip solutions, domain, web hosting services","4DevNet offers expert Odoo & ERPNext ERP solutions, custom software development, and digital marketing to boost your business efficiency and online presence."
2000,Salus Technologies,17,http://www.salustechnologies.com,information technology & services,"gaming software, infrastructure management, consulting on gaming industry, online poker & casino software solutions, fantasy sports, gaming kiosks","The trusted provider for over 18 years to buy or rent customized online poker software development solutions for desktop, mobile and web"
2000,Fusion Informatics Limited,83,http://www.fusioninformatics.com,information technology & services,"it consulting, product development, custom software development, mobile apps development, web development, apps development, digital transformation, cloud development, saas development, ai, ml development, iot development, data analytics, machine learning, deep learning, predictive analytics, mes, erp development","Looking for the best local AI & IoT app development company? We specialize in custom software development, offering innovative AI and IoT technology services for businesses of all sizes in the USA, UAE, UK, Australia, Germany and the India."
2000,Concept Infoway Pvt. Ltd,98,http://www.conceptinfoway.net,information technology & services,"website design, development, mobile app development, web application development, custom crm development, internet marketing seo, ppc, smm, database administration, migration, and more","Offshore Software Development Company - Concept Infoway offers expert web development, digital marketing, and IT services. Contact us to grow your business."
2000,Pingaksho Technologies,32,http://www.pingakshotechnologies.com,information technology & services,"technology counsulting, product development, software development, it service","Pingaksho Technologies is a product development, engineering and consulting services company, serving technology startups as well as mid-size to large corporations."
2000,Indiafin Technologies,62,http://www.indiafin.com,information technology & services,"website designing, website development, ecommerce, search engine optimization, content management, payment gateway integration, web tools & applications, website testing, staff augmentation, web technologies, data conversion","Web Designing Delhi,Web Designing India,Web Designing Noida,Web Designing Services,Web Designing Services India,Web Designing noida Web Development Delhi."
2000,AtoZ Infoway,39,http://www.atozinfoway.com,information technology & services,"android application development, ios application development, mobile development, 2d, 3d animation services, aspnet development, net mvc development, ionic development, sharepoint development, qa services, software testing, php development, angularjs development, cross platform mobile application development, ecommerce solutions, open source application customization","Leading SharePoint development company in Ahmedabad, India. Other development includes enterprise software development in Surat and IoT product development in Rajkot."
2000,Cashaly,19,http://www.cashaly.com,online media,"ecommerce, coupon, cashback, discount, coupon codes","Discover the best coupon sites for online shopping and top cashback sites in India 2024. Save big on verified deals from Cashaly, your trusted site for maximum discounts!"
2000,Enviro Lab,21,http://www.pollutionconsultants.com,environmental services,"environment testing, calibration, environment consultancy, environment compliance, nabl certified iso 170252017 lab, moef accredited","MOEF Accredited Lab , NABL Accredited Lab ,e waste processor, Pollution Consultant in Bhiwadi , NCR, Rajasthan, Calibration Lab in Bhiwadi , NCR, Rajasthan"
2000,Inspire,12,http://www.inspiregroup.in,marketing & advertising,"brand identity creation, graphic designing, brand building, management programs, website designing, digital marketing, seo, social media promotion, exhibition, event setups, facility branding, environment graphics, space designing","Inspire is one of the top branding and advertising agencies. Our brand communication services encompass branding, web design, and events & exhibition design."
2000,Nimaisoft Systems,31,http://www.nimaisoft.com,information technology & services,"cloud applications, mobile applications, enterprise apps, solutions, industry solutions","Technology company offering high end inspiring services in mobile apps,cloud SaaS apps,AI, Data Analytics, IOT and digtal Transformation."
2000,Bio-gen Extracts,71,http://www.bio-gen.in,"health, wellness & fitness",nutraceuticals,"Bio-gen Extracts, the best herbal extract and natural ingredients manufacturer in India, offers a suite of scientifically researched nutraceutical ingredients. From award-winning extracts like Lute-genÂ® for eye health to TruBeetÂ® for cardiovascular support, we formulate dietary supplements like plant-based and botanical extracts backed by clinical studies for safety and efficacy."
2000,VRVirtual.com,15,http://www.vrvirtual.com,information technology & services,"publishing solutions, office automation, ecommerce solutions, digital marketing, crm application for academic publishers","We are an experienced Website Design, development, CRM solutions, Social Media Management company specializing in publishing houses. Try us out."
2000,Lemon Design,33,http://www.lemondesign.co.in,design,"graphic design, industrial design, interaction design, branding, retail design, environment design","Lemon Design is an award winning Strategic Branding and Integrated Design Consultancy based in Pune, India. We use Design Thinking and User-Centric design to create a difference for brands, spaces, interfaces, packaging and products."
2000,Avinex,39,http://www.avinex.co.in,information technology & services,"ibm watson developer cloud, microsoft net, petroleum refining, amazon cloud, enterprise web applications, petrochemicals, enterprise mobility solutions, external applications integration, nodejs, java, cognitive & analytics solutions, python, objective c","We develop software applications to analyze complex industrial data, that involve engineering calculations, and workflows."
2000,Prime Time Palm Beach County,39,http://www.primetimepbc.org,nonprofit organization management,"professional development, quality improvement, research, community partnerships","Prime Time Palm Beach County is a nonprofit organization that provides resources and supports for out-of-school time professionals to develop programs that inspire children to be their best and allow them to thrive socially and academically. Prime Time is now offering a virtual summer camp, open to the public and completely free! Prime Timeâ€™s integrated model of services is one of the strongest, most comprehensive and well-respected systems for measuring and improving out-of-school time program quality in the nation."
2000,DreamSoft IT Solutions,34,http://www.dreamsoftindia.com,information technology & services,"industrial automation software solutions, industrial reporting solutions, pharma data logging applications, mis & iot applications, customized device interface applications, bridging applications with sap integrations, industrial alarm management by sms & email, btr application","DreamSoft Now focused on Industrial Automation Software Products and Solutions, ERP for Manufacturing Industry and other Web Services like Website Developments & Web Hosting with Search Engine Optimization."
2000,OSC Professionals,52,http://www.oscprofessionals.com,information technology & services,"magento end to end, mangento development & customization, security, amazon aws, server optimization, magento audits, penetration testing, hosting support, wordpress, woo commerce development, mobile development, linux, malware analysis, magento oncloud, b2b solutions, shopify, seo, shopify app development, shopify development, web development, speed optimization, shopify agency, web development nagpur, shopify speed optimization",Grow Your E-commerce Company with Best-In-Class Website Design & Web Development Agency | Shopify Services and Magento 2 Services. Get In Touch Now!
2000,Tornado Software Pvt. Ltd.,21,http://www.tornadosoftware.net,information technology & services,"wordpress, opencart, laravel, codeigniter, html5, psd to html, android studio, seo, mlm softwares, medical softwares, accounting crm, web desinging, animation videos, php, promotional video development, crm, customised software, digital marketing, web developement, software developement, pr, public relation management, paid marketing, ppc, google ads, smo","Top web Development company offers Wordpress, PHP, Magento & Mobile app development company and Video Development in Ahmedabad.Best Seo Services in India."
2000,Report Yak,25,http://www.reportyak.com,management consulting,"csr report design services, sustainability report design services, esg report design services, annual report design, integrated report design, annual report design services, impact reports, brsr advisory, integrated annual report design","Report Yak, an Annual Report Design Agency, helps companies connect and engage with their stakeholders through clear communication and elevated design."
2000,Tecogis,64,http://www.tecogis.com,information technology & services,"online & onspot registration, rfid integration, website developement, kiosk application, email campaign, payment gateway solutions, mobile app, barcode integration, wifi setup","Since 2000, Tecogis provides pre, on-spot and post event management solutions like planning and execution, registrations, event mobile apps and websites, CRM, lead retrieval apps, etc."
2000,Mainstream Technologies,49,http://www.mainstream.in,human resources,"mobile, technology, information technology, hr consulting, recruitment services, training, development","Mainstream Technologies India Private Limited, is a first-generation business consulting firm, providing strategic advice to organizations to help them create, design and execute organization specific sourcing techniques and models so as to achieve their talent management goals."
2000,INNOVATIVE INFORMATICS,18,http://www.infoinnovative.com,information technology & services,"erp, prowesserp, prowess erp solution for trading distribution, prowess, prowess erp solution for manufacturing, prowess erp solution or control panel manufacturing, prowess erp solution for pest control, prowess erp solution for courier logistics","Enterprise Resource Planning, Erp for Pest Control Company, Erp for Control Panel, Erp for contracting Industry"
2000,open designs interactive,52,http://www.opendesignsin.com,design,"user experience website design, development, wordpress content management system, google seo, digital marketing, content writing, blogging, social media management, marketing, website maintenance, updates, google adwords, email marketing, facebook management & marketing, linkedin management",Business need professional websites to stay in the public eye.We the Best Web Design and Development Company in Chennai develop websites as such.
2000,APV Technologies,89,http://www.apvtechnologies.com,information technology & services,"net cnet, cnet, vbnet, aspnet, java platforms, software testing services, latest webtechnologies, various dbs, hosting services, desktop, web, mobile applications","APV, provides world wide best IT Services, design, develop, support software products and web portals to take your business to higher levels."
2000,Iknoor Technology,27,http://www.iknoortech.com,information technology & services,"website designing, web applicaiton development, mailing soultion with anti spam, website hosting solutions, customized software development solutions, print solutions, social media marketing solutions, seo, smo, mobile app development, g suite","Iknoor Technology: Expert web design, hosting, SEO & digital marketing services. Trusted for innovative IT solutions. â†’ â˜Žï¸ +011-42133775"
2000,Square Brothers Information Technologies,8,http://www.squarebrothers.com,online media,"icann registrar, web hosting provider, domain registrar, in accredited registrar, dedicated server provider, virtual private servers vps, cloud servers, linux hosting provider, web development company, icann accredited registrar, 1 hosting company, php, asp, net, java, mysql, mssql, hosting india, chennai hosting","99.9% Uptime Guarantee. India's #1 Web hosting provider of Web Hosting, Web Hosting India, Web Hosting Chennai with real 24x7 Tech Support."
2000,TeNetSoft,2,http://www.tenetsoft.com,information technology & services,"opensource cmss in drupal joomla plone wordpress symphony, elearning lms in moodle, ecommerce woocommerce oscommerce opencart, plugins & apis for, responsive web design, web template customization, blockchain development, big data analytics, internet of things","At TeNetSoft, we're revolutionizing IT consultancy with our focus on AI-assisted development. Discover how we provide innovative, future-ready solutions to companies, non-profits, universities, and government agencies worldwide"
2000,Alia Impex Overseas,8,http://www.aliaworld.com,apparel & fashion,"indias first to introduce nickel free jewelry, india39s first to introduce nickel free jewelry, now lead free cadmium free on demand, the factory fully under compliance, socially responsible organisation, now lead free amp cadmium free on demand",Alia Impex Overseas are manufacturers & exporters of High Fashion Jewelry. We specialize in metal jewelry & have been doing it since 2011.
2000,Jaycee Technologies,2,http://www.jayceetech.com,electrical/electronic manufacturing,"level switches, flow meters, level transmitters, microwave moisture measurement sensor, ultrasonic level meter, level sensor, electronic rotating paddle sensor, chute jamming detection switch, display","Jaycee tech is the best Flow Meter, Level Switch for Solids, Level Controller, Vibrating Rod Level Switch, Rotating Paddle Level Switch, RF Admittance, RF Capacitance supplier, Manufacturer, Exporter, Dealer in Philippines, Cambodia, Bangladesh, manmar, Africa, Egypt, Ethiopia, Iran, Iraq, Kenai, Tanzania, Nigeria, shrilanka, Thailand, south America, Argentina, Bolivia, Brazil, Colombia, Peru"
2000,Hans Technologies,4,http://www.hanstechnologies.com,design,"seo, web design & development, domain name booking, corporate branding",Mist â€” Multi-Purpose HTML Template
2000,Anims Connexion,6,http://www.animsinc.com,marketing & advertising,"advertising, media planning, digital marketing, creative solutions, media buying","ANIMS offers Creative Solutions, Media Planning & Buying for Print, Electronic, OOH & Digital Marketing, Web & Mobile Apps Solutions. ANIMS: the agency for all your marketing needs."
2000,Gentex Seeds,5,http://www.gentexseeds.com,biotechnology,"okra vegetable seeds, radish vegetable seed, tuar field crops, urid field crops, cowpea vegetable seeds, forage seeds, field crops, soyabean field crops, guar field crops, fenugreek field crops, bringal vegetable seeds, coriander vegetable seeds, muskmelon vegetable seeds, onion vegetable seeds, cumin field crops, vegetable seeds, long melon vegetable seed, peas vegetable seeds, watermelon vegetable seeds, cluster beans vegetable seeds, marigold vegetable seeds, wheat field crops, sesame field crops, psyllium field crops, imported vegetable seeds, jowar forage seeds, barseem forage seeds, gourd vegetable seeds, grass forage seeds, maize field crops, bajari forage seeds, chilli vegetable seeds, fennel seeds field crops, tomato vegetable seeds, carrot vegetable seeds","Gentex Seeds is an Erstwhile seed company dealing in 140 different varieties of Seeds. We Breed, develop and Produce best quality Seed to meet the full potential in order to make the optimum utilization of available resources."
2000,Shri Data Entry Services,7,http://www.shridataentryservices.com,information technology & services,"data entry services, online data entry services, offline data entry services, data mining services, data extraction services, web research services, data collection services, data conversion services, data processing services provider in india","Shri data entry services India, reliable outsourcing data entry service provider having expertise to provide quality data entry services at a reasonable price."
2000,Siliguri Infoline,10,http://www.siliguriinfoline.com,design,"social media optimisation, industry specific websites, website design development, cms website development, search engine optimisation, website design amp development","Siliguri Infoline Web Services - Website Design Company Siliguri, Web Designers in Siliguri"
2000,Aura Herbal Textiles,9,http://www.auraherbalwear.com,textiles,"herbal processing textile techniques, natural dyeing, printing techniques, process patents, sustainable textiles, organic herbal dyed products, herbal dyeing, herbal printing, cradle to cradle production, ethical production practices",This domain may be for sale!
2000,PEXX,6,http://www.pexx.net,wireless,"wireless & microwave networking, smart energy wireless networking, communication tower construction & maintenance, lighting pole construction & wireless networking","Pexx, Inc. a Wireless Microwave Radio Installer and Tower Construction and Maintenance company for Communication Tower Sites, Smart Energy Grid Networking, Cell Sites, Wireless Towers, Wireless Communications Sites, installation of high-speed wireless microwave radios, wireless networks, monopole, self support, guyed towers, Adtran, Exalt, Redline, Lucent-Alcatel, BridgeWave, Sony, Ceragon, GE-MDS, Proxim, in Houston, Texas as well as national locations."
2000,Zero Creativity Studio,1,http://www.zerocreativity.eu,design,"motion reel pictures, mobiletablet app game developmen, web design, mobiletablet app amp game developmen, mobile ux ui interface design","0creativity studio india, zero creativity studio India, zerocreativity India,0creativity studio europe, zero creativity studio europe, zerocreativity europe. web designing studio rajkot,web design agency rajkot, web development rajkot,0creativity India, design, designing, development, designer, developer, agency, agencies, identity, creative, studio, Europe, France, Italy, UK, Switzerland, web, website, brand, identity, strategy, consultant, consultancy, consulting, facebook, application, game, iphone, android, application, apps, page, maker, outsourcing, to india, php, shopping cart, ecommerce, joomla, wordpress, magento, theme, template, social, network, seo, sem, marketing, analysis, augmented realityfacebook, landing page, brand, logo, product, packaging, package, corporate, box, brochure, company booklet, presentation, product printing, bottle design, bhumit vyas"
2000,HyperDizital,6,http://www.hyperdizital.com,marketing & advertising,"social media marketing, digital marketing, paid advertising, lead generation, google ads, email marketing, branding, graphic designing",Home- Our Products and Service Packs are exclusive and crafted based on our gained knowledge and experience to provide the expected outcome in the domain.
2000,Laundromania,2,http://www.laundromania.com,retail,"laundromat, self serve, washdryfold service, laundry services, local services","Air Conditioned 24 hour laundromats located in Iowa City, Coralville, North Liberty & Davenport, Iowa. Free Wi-Fi internet & TVs. We accept credit cards."
2000,Vees Star Diamonds & Jewelry,5,http://www.vstardiamonds.com,luxury goods & jewelry,"bespoke jewelry, diamond jewelry, solitaires, customization",Vees Star Diamonds & Jewellery is a fascinating story of how dedication and proper planning and careful execution can give business success through customer satisfaction retention. Vision of Vees Star - giving exquisite diamonds at unbelievable prices. And the Company is certainly marching in the right direction.
2000,Thinktree,9,http://www.thinktree.co.in,design,"design, branding, packaging, strategy",Strategy | Design | Branding | Packaging
2000,Weblanza,7,http://www.weblanza.com,information technology & services,"web hosting, search engine optimization, design media, android application, ios app development, google g suite partner, web design & development","Weblanza is a crew of experienced IT professionals with skills in web development, mobile apps development, search engine optimisation Dubai, web hosting and web designing Qatar."
2000,Gopesh Uniforms - Uniform Manufacturers in Mumbai,8,http://www.gopeshuniforms.com,apparel & fashion,"industrial uniform manufacturers, hospitality uniform manufacturers, housekeeping uniform manufacturers, hospital uniform manufacturers, uniforms manufacturers, corporate uniform manufacturers","Gopesh Uniforms, Established in 2000, A Leading Uniform Manufacturers in Mumbai. One Stop Solution for All types of Uniform Manufacturers, Suppliers in Mumbai at very affordable rates."
2000,Goldmine Infotech,10,http://www.goldmineinfotech.com,information technology & services,"software developments, flash multimedia, network support, domain name registration, website hosting, search engine optimization, poratl developments, ecommerce, server configuration, mailing solutions, website development, website designing","Goldmine Infotech Pvt Ltd,No 21. Parthasarathy Puram Extn,North Usman Road, T.Nagar, Chennai - 600017. TN. INDIA,phone + 91 44 - 4212 1117,mobile +91 99400 44291,98405 22239,Email admin@goldmineinfotech.com"
2000,Shubam Lifts,4,http://www.shubamlifts.co.in,electrical/electronic manufacturing,"dumb waiters, automatic lifts, gearless lifts, manual door lifts, ms power coated cabins, safety, ss designer cabins, bed passenger lifts goods passenger lifts, ms color shades textures, capsule lifts, accessories, ms color shades amp textures","Shubam lifts are the manufacturers of automatic lifts, capsule lifts, machine room less lifts, dumb waiters, Passenger Lifts, Car Lifts, Goods Lift, Home Lifts from Delhi India"
2000,Smartime,10,http://www.smartimeinc.com,information technology & services,"search engine optimization, software development, typingtranscription, logo designing, ecommerce, flash presentation, site maintenance, business kit, brochure designing, web designing, xhtml conversion, data entry, quality assurance",smartimeinc.com - Web designing and development company | a Professional business Web site Design Company with Custom Web Site Design at an Affordable Price
2001,Cynapse,13,http://www.cynapse.com,information technology & services,"collaboration, information management, high technology software, business dashboards","Unlock business potential with Cynapse's Numerics, the innovative KPI dashboard unifying data across teams and tools."
2001,Arc Solutions,18,http://www.arcsolinc.com,machinery,"plasma cutter sales, plasma cutter service, welding equipment sales, welding robot sales, welding robot service, welding accessories, welding consumables, plasma consumables, welder repair, welding integration, welding automation, cobots","Arc Solutions is your go-to expert for welding products, plasma cutting, automation, machine repair & sales of equipment & consumables."
2001,Cybersecurity,36,http://www.staysafeonline.org,information technology & services,"cybersecurity, privacy, online safety, data security, education, small business","The National Cybersecurity Alliance is a non-profit organization on a mission to create a more secure, interconnected world."
2001,Brainwave Biotechnology Limited,78,http://www.brainwave.in,research,"preventive healthcare, intellectual property research, kpo services, kol profiling, content writing, data analytics, cdm ipr, clinical research, structural biology, medical writing, life science informatics, cdm amp ipr, life science intelligence, bio medical, epublishing, data management, kpo, kol profiling life science informatics clinical research data management intellectual property resear","Brainwave biotechnology is best offshore bio solution base information technology service providing company in India. Their services like Clinical Data Management, KOL Service, Drug Discovery Services, Medical Writing and Medical Animation Services."
2001,Fashion Matrix Overseas,28,http://www.fashionmatrixoverseas.com,apparel & fashion,"bavarian clothing, eco friendly clothing, eco friendly digital printing, personalized fabric, personalized fashion, licensed clothing, western wear, face masks, medical coveralls, customized fabric, home furnishing","Leading provider of Bavarian fashion, from Dirndls to shirts. Combining traditional craftsmanship with modern production techniques and global expertise"
2001,FarmERP,52,http://www.farmerp.com,information technology & services,"farm management software, agriculture erp software, traceability, predictability, productivity, profitability, agricultural software, agtech, foodtech, precision agriculture, cloud based, single signon, data insights, data analytics, integration",FarmERP is leading Smart Agriculture Management ERP Software Platform. We aim at the technology-intensive transformation of agriculture and agribusiness.
2001,Tethys Oil,40,http://www.tethysoil.com,oil & energy,exploration & production & oil & gas,"Tethys Oil is a Swedish oil company with focus on onshore areas with known oil discoveries. The companyâ€™s core area is the Sultanate of Oman, where it holds interests in Blocks 3&4, Block 49, Block 56 and Block 58."
2001,Big Sky Youth Empowerment,21,http://www.byep.org,"health, wellness & fitness","atrisk youth, vulnerable youth, outdoor adventures, life skills education, mentorship, youth program, group mentoring","The most powerful teen mentorship program in the country. BYEP mentors get 
 
 kids outside so they can grow inside through skiing, snowboarding, rock 
 
 climbing, rafting, and community service."
2001,Smartinfosys.net,59,http://www.smartinfosys.net,information technology & services,"web, graphic designing, web hosting, web development, seo services, wordpress development, website maintenance, digital marketing","Looking for a Website Development Services in USA/UK? Get WordPress development, PHP & Shopify development, digital marketing, website hosting, ecommerce website design & graphic design services."
2001,Nest Software,27,http://www.nspl.co.in,information technology & services,"application development, quality assurance, artificial intelligence, data engineering, cloud services, ui, ux",Looking for an expert IT company in India? Look no further. We offer best value IT services to drive business scalability & digital transformation. Contact Us!
2001,Software Services and Solutions,40,http://www.ssspatna.com,information technology & services,award winning software company & times excellence 2021 for software solutions,"<font color=orange>*****</font>Rating:4.8/5 - 1120 votes.<br>Best Software Company since last 20 years offering Software Development, Website, Digital Marketing"
2001,Pixel Studios,89,http://www.pixel-studios.com,marketing & advertising,"online consulting, internet marketing, website designing, development, digital marketing, social media marketing, seo services, ecom websites, portal development, web applications, mobile applications, lead generation, iot, social listening, online reputation management, linkedin marketing, instgram marketing, facebook marketing, performance marketing, branding, brand building","We are a Digital Design, Marketing & Technology Company offering UI/UX, Website Design, SMO, Web Apps and SEO to transform your business."
2001,Acuity Software Technologies,54,http://www.acuitysoft.com,information technology & services,microsoft certified partner,"Acuity Software Technologies are developers of Software and E-Commerce web sites designing. Acuity develops client/server applications, designs web sites, provide internet hosting, web site maintenance, e-commerce solutions, graphic designing, data warehousing, database design, integrate applications with accounting, payroll and CRM softwares and application development using Visual Basic, Microsoft Access, SQL Server, ASP, XML, C++, Java, Cold Fusion"
2001,Geisha Designs,19,http://www.geishadesigns.com,design,"womens evening wear gown, women resort wear, bespoke tailoring, white brides","Shop Chic Ethnic Wear, Lehengas and Bridal Wear Online."
2001,National Network of Public Health Institutes,83,http://www.nnphi.org,"health, wellness & fitness","public health performance improvement, health equity, public health research & evaluation, evidencebased public health, community health improvement, leadership & workforce development, health in all policies, public health institute membership organization","Mobilizing more than 40-member public health institutes, NNPHI connects more than 8,000 subject-matter experts with organizational partners across the nation."
2001,Sibz Solutions,19,http://www.sibzsolutions.com,information technology & services,"digital media, advertising, web development, web design, content, seo, freelancers, content delivery, search marketing, media, consumer internet, search, internet, information technology, web designing, smo, ppc services, internet marketing, web hosting, social media marketing, web applications, e commerce websites, organic seo","Professional offshore IT outsourcing company in India offering web development services, web designing services, digital marketing services at affordable prices."
2001,Dotline Web Media Pvt Ltd,36,http://www.dotlinedesigns.com,design,"website designing, logo designing, designing studio, seo, smm, ppc, content writing, web apps, video creation, mobile app","Dotline Designs a leading Web Design Company in Bangalore offers Website Designing, Web Development, Ecommerce solutions, Logo design, Web Hosting, SEO services in Bangalore."
2001,Suolificio Linea Italia India,68,http://www.lineaitalia.in,apparel & fashion,"sole manufacturing, footwear, shoes, shoe, fashion, tpr, tpu, pvc",Suoloficio Linea Italia is India's largest premium shoe sole manufacturer.
2001,Webdreams India,38,http://www.webdreams.in,information technology & services,"website design, website development, search engine optimization, flash design, services, domain registration, web hosting, social media optimization, website application development, ecommerce websites","WebDreams is leading web Design Company in Hubli, Belgaum offers SEO, SMO, e-commerce solution, hosting, website designing and Development services in Bangalore, Belgaum."
2001,Web Element Solutions,28,http://www.webelementinc.com,information technology & services,"development in j2ee technologies, mobile app development, domain management, enterprise emails, cloud computing, email marketing","Web Element Solutions Limited is an emerging leader in providing end to end web solutions and custom software development. Our range of servicing capabilities is wide spread and includes Business process enhancement services to augment your existing business processes effectively, Customize web application services to drive customer centric solutions, App development to deliver efficient app solutions, Enterprise mail hosting services for enabling targeted messages for the customers."
2001,NEXIA,13,http://www.nexianet.com,apparel & fashion,"sourcing made in india products, inspection services under aql, import documentation services & logistics, merchandising services, sampling services",Nexia - Buying House
2001,Partners Advertising,36,http://www.partnersindia.com,marketing & advertising,"branding & idea generation, creative advisers & stylists, resource partners & managers, content partners, digital advertising, media partners print, electronic, communication evaluation & auditing, pr partners","A National Brand Management Consulting Agency with 150+ brands launched in last 20+ years. Partners is North India's #1 Digital Creative Agency which helps its clients in all regions to identify their highest-value opportunities, address their most critical challenges, and transform their enterprises."
2001,Broil Sensotek Industries,14,http://www.broiltech.com,machinery,"fuel consumption & monitoring meter, fuel flow sensor, pressure transmitter, temperature sensor, turbine flow meter, helical rotor flow meter, water flow sensor","Broiltech Manufacturing Fuel Flow Meter | Diesel flow sensor | Liquid flow meter | Digital Water Meter | Water Flow Sensor | Oil flow meter | Steam flow meter MID 001, MID 005, OIML,W&M,"
